Title,Rating,Overview
Hanna,7.6,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is."
The Recruit,7.4,Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.
Ragnarok,7.5,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.
MacGyver,7.6,The adventures of a secret Agent armed with almost infinite scientific resourcefulness.
Shooter,7.5,"A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coerced back into action to prevent a plot to kill the President."
9-1-1,7.9,"Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations."
Empire,7.4,"A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers."
The A-Team,7.5,"Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military."
Everybody Hates Chris,7.5,A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.
Jupiter's Legacy,6.7,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty."
Alcatraz,6.9,"In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
Chainsaw Man,8.5,"Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils."
Mayor of Kingstown,8.2,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry."
Haven,7.5,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
Blackadder,8.0,"In the Middle Ages, Prince Edmund the Black Adder constantly schemes and endeavors to seize the crown from his father and brother."
F Is for Family,8.0,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
The Rain,6.3,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety."
"Ed, Edd n Eddy",7.5,"The off-the-wall, day-to-day life of three friends who have exactly the same name."
The Goldbergs,8.0,"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs."
Raising Hope,8.1,"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row."
Happy Endings,7.8,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together."
Lethal Weapon,7.8,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
The Wonder Years,8.4,Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting.
Don't Trust the B---- in Apartment 23,7.3,"Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek."
The Flintstones,7.5,"The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles."
The Colbert Report,8.5,"Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way."
Mob Psycho 100,8.6,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
Columbo,8.3,Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.
Sneaky Pete,8.1,"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate Pete, and reuniting with Pete's estranged family, which threatens to drag him into a world just as dangerous as the one he's escaping."
Farscape,8.3,"Thrown into a distant part of the universe, an Earth astronaut finds himself part of a fugitive alien starship crew."
1923,8.4,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression."
"Scooby Doo, Where Are You!",7.9,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
NCR Days,9.1,NCR Days depicts the life of a small town guy studying in a city that is completely contrasting to his perspectives in life.
Dirilis: Ertugrul,7.9,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire."
The Righteous Gemstones,8.1,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work."
The Suite Life of Zack & Cody,6.6,Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.
Doctor Who,8.4,"The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs."
The Chosen,9.3,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.
Z Nation,6.7,"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood."
Johnny Bravo,7.2,The misadventures of a dumb blond egomaniac who is deluded about his own manliness.
Colony,7.4,"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order."
Longmire,8.3,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
Masters of Sex,7.9,Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.
Beauty and the Beast,7.0,A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.
Mom,7.3,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
Young Royals,8.3,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated."
ALF,7.4,A furry alien wiseguy comes to live with the Tanner family after crashing into their garage.
According to Jim,6.5,"A television show centered around a macho everyman, his loving wife, and their three precocious children."
Another Life,5.3,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.
Gangs of London,8.1,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.
Rugrats,7.4,The cartoon misadventures of four babies and their snotty older cousin as they face the things in life they don't understand.
Superman & Lois,7.8,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society."
Monster,8.7,"Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan."
The Amazing World of Gumball,8.3,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.
Steven Universe,8.2,"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
How to Sell Drugs Online (Fast),7.8,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom."
Top of the Lake,7.4,"Obsessed with the disappearance of a 12-year-old pregnant girl near a freezing lake in New Zealand, a brave detective will find herself up against small-town secrets and a side of herself that was meticulously kept at bay."
The Tomorrow People,7.2,"Evolved humans with amazing abilities (Teleportation, Telekinesis, Telepathy) are being hunted down by agents of Ultra."
The Gifted,7.3,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
The Mechanism,8.0,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.
Skam,8.6,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view."
Wizards of Waverly Place,6.9,"The Russo family may be an ordinary family with an average restaurant, but behind close doors, all three children must compete to be the next family wizard."
Parenthood,8.3,The lives and tragedies of the Braverman family tree.
Saved by the Bell,7.1,"A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California."
Midsomer Murders,7.9,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
Red Dwarf,8.4,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf."
Knight Rider,6.9,A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar.
Rizzoli & Isles,7.6,Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston.
"Beverly Hills, 90210",6.5,"A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood."
Last Man Standing,7.5,A married father of three tries to maintain his manliness in a world increasingly dominated by women.
Poker Face,7.9,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and solve.
The Protector,6.5,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
Party Down,8.2,"A group of actors move to Los Angeles to make it big, but end up working as caterers."
Episodes,7.8,"A couple of British TV producers move to Hollywood to export their most popular series, and find it is not what they expected."
Teenage Mutant Ninja Turtles,7.9,Mutant heroes live in New York sewers and train in martial arts to protect the city from crime.
Sugarland,8.3,Sugerland is a Tv series that tells the stories of a land with more than 180 characters from a crazy person who knows a lot but acts like wise people to a wise man who acts like a crazy.
The Legend of Vox Machina,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave."
Legend of the Seeker,7.6,"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny."
Special OPS,8.6,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades."
Teen Titans,7.9,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.
The Cosby Show,7.4,The goings-on in the life of a successful African-American family.
Hey Arnold!,7.6,"The everyday life of Arnold, a fourth-grader in a nameless city that resembles Brooklyn, New York, who lives in a multi-racial boarding house with his grandparents and a motley assortment of friends and neighbors."
Farzi,8.4,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller."
Ally McBeal,6.9,Follows the personal and professional life of lawyer Ally.
Ezel,8.7,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Rules of Engagement,7.3,"Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage."
Crash Landing on You,8.7,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
The Bugs Bunny Show,8.6,TV series featuring the classic Looney Tunes animated shorts.
Modern Love,7.9,"TV series based on the New York Times column that explores relationships, love, and the human connection."
Life,8.3,"Detective Charlie Crews was framed, convicted and cleared for a crime he didn't commit. Twelve years of hard time have given him a unique philosophy on life and criminal investigation. Now he's readjusting to a world that's moved on."
Nathan for You,8.9,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Quantum Leap,8.2,"During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the lives of different people, sorting out their problems and changing history in hopes of getting back home to the present."
I Am Groot,6.7,A series of shorts featuring the seedling Groot along with several new and unusual characters.
Legacies,7.3,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world."
Aashram,7.1,"A duplicitous, aashram based, Indian Godman's good deeds serve activities criminal and unholy, such as rapes, murders, drugs, vote bank politics and forced male emasculation. The law and a few crusaders investigate to bring him to account."
Into the Night,7.1,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night."
Derek,8.1,Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.
Marcella,7.4,"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her."
Broad City,8.4,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time."
Bored to Death,7.9,A well-meaning but struggling writer decides to lead a sort of double life by pretending to be a private detective using the methods he read about in old detective novels.
Hacks,8.2,"Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old."
Poldark,8.3,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it."
The Mindy Project,7.5,"A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office."
Halt and Catch Fire,8.4,Follows some players in the 80s technological revolution that lead to information society.
The Society,7.1,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
Harley Quinn,8.5,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
Your Lie in April,8.6,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Living with Yourself,7.2,"An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself."
Fauda,8.3,The human stories on both sides of the Israel-Palestine conflict.
Dark Angel,7.3,"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
Firefly Lane,7.6,Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.
DuckTales,8.0,The globe-trotting treasure-hunting money-making adventures of billionaire Scrooge McDuck and his nephews.
Spider-Man: The Animated Series,8.4,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
An Idiot Abroad,8.3,British comedy duo Ricky Gervais and Stephen Merchant send their simple and closed-minded friend Karl Pilkington on a trip around the world to experience a variety of people and cultures.
Beavis and Butt-Head,7.5,"Animated MTV series about two teenage heavy-metal music fans who occasionally do idiotic things because they're bored. For them, everything is ""cool"" or ""sucks."""
Babylon 5,8.4,"In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years."
The Boondocks,8.5,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather."
The Filthy Frank Show,9.2,Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.
Tokyo Vice,8.0,A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.
QI,8.6,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
Dragon Ball Super,8.3,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
Strike Back,8.1,"Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe."
Suburgatory,7.2,"Tessa Altman is used to the big city, but when her dad moves her away, she has to adapt to her new suburban life in Chatswin."
Black Summer,6.6,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
Queen of the South,8.0,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
Lost Girl,7.6,"When a succubus finds it difficult to adapt with her unusual traits inspite of being born in a human family, she sets off on a journey to find out the truth of her origin."
Invasion,6.1,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.
Willow,5.7,"Twenty years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown."
American Vandal,8.1,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.
And Just Like That...,5.7,"The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
Pinky and the Brain,7.8,A genius mouse and his stupid sidekick try to conquer the world each night.
Cursed,6.0,A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.
Anger Management,6.6,"Ex baseball player Charlie is an anger management therapist with small group sessions at home. He has an OCD teen daughter, an ex-wife, and a sex buddy/therapist."
Life on Mars,8.4,"After a near-fatal car accident, smart, savvy, sharp-suited detective Sam is mysteriously transported back to 1973. Confused by his new surroundings, Sam tries to return to the present, but the police force of long ago needs his help."
Flames,8.9,A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.
Behzat Ç: An Ankara Detective Story,8.9,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.
Man vs. Bee,6.7,"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?"
Dharma & Greg,6.4,"A free-spirited yoga instructor finds true love in a conservative lawyer and they get married on the first date. Though they are polar opposites, he fulfills her need of stability and she fulfills his need of optimism."
The Order,6.7,"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic."
Our Flag Means Death,7.8,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.
Lilyhammer,7.9,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.
Pose,8.7,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism."
Damages,8.1,A law school graduate becomes the protégée of a successful high-stakes litigator.
Keeping Up with the Kardashians,2.8,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney, Khloé, Kendall and Kylie."
Warrior,8.4,"During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown."
Hercules: The Legendary Journeys,6.5,"Hercules, aided by his best friend Iolaus, goes on many adventures helping people and slaying mythical monsters using his half-god strength."
Insatiable,6.5,"A disgraced, dissatisfied civil lawyer-turned-beauty pageant coach takes on a vengeful, bullied teenager as his client and has no idea what he's about to unleash upon the world."
Covert Affairs,7.3,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
The Good Fight,8.4,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm."
Spy x Family,8.4,"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together."
The Deuce,8.1,"A look at life in New York City during the 1970s and '80s, when porn and prostitution were rampant in Manhattan."
Endeavour,8.6,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford."
Kim Possible,7.2,A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence.
Helix,6.7,A team of scientists are thrust into a potentially life-or-death situation when they arrive in the Arctic to secretly investigate what could be an outbreak of a strange disease in a secluded international research facility.
Outer Range,7.1,A rancher fighting for his land and family discovers an unfathomable mystery at the edge of Wyoming's wilderness.
Kyle XY,7.5,"A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love."
Haikyu!!,8.7,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
Roswell,7.5,The lives of three young alien/human hybrids with extraordinary gifts in Roswell.
The Exorcist,7.9,Follows two priests dealing with cases of a demonic presence targeting a family and a foster home.
Evil,7.8,"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work."
Dracula,7.3,"Dracula travels to London, with dark plans for revenge against those who ruined his life centuries earlier. However, his plan is complicated when he falls in love with a woman who seems to be a reincarnation of his dead wife."
StartUp,7.8,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0."
Medium,7.1,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
SEAL Team,7.8,"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask."
Spin City,7.3,"Mike Flaherty, the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media. Mike is later succeeded by Charlie Crawford."
Mythic Quest,7.7,The head of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
Cold Case,7.6,"The Philadelphia homicide squad's lone female detective finds her calling when she's assigned ""cold cases,"" older crimes that have never been solved."
The Resident,7.8,A group of doctors at Chastain Memorial Hospital face personal and professional challenges on a daily basis.
Alphas,7.2,Alphas is a science fiction drama focusing on a team that investigates people with supernatural abilities.
Pieces of Her,6.3,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed."
The Fosters,8.0,"Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children."
Victoria,8.2,"The early life of Queen Victoria, from her ascension to the throne at the tender age of 18 to her courtship and marriage to Prince Albert."
Mumbai Diaries 26/11,8.7,"Set during the 2008 Mumbai attacks, it follows the staff of Bombay General Hospital and their travails during the fateful night of November 26, 2008."
JoJo's Bizarre Adventure,8.5,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
Batman Beyond,8.1,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham."
Baywatch,5.4,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis."
Counterpart,8.0,"A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides."
The Frog,8.2,Ramin plans a robbery on his childhood classmate Noori who has become a mysterious rich man and that's just a beginning of a brutal journey.
Forbrydelsen,8.4,Police detective Sarah Lund investigates difficult cases with personal and political consequences.
Black Clover,8.3,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus."
Rise of Empires: Ottoman,7.9,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.
Vice Principals,8.0,"An overprotective father is obsessed with becoming a principal and competes against the popular vice principal. However, something happens that makes them work together to save the day."
Tales of the Jedi,8.2,It showcases animated shorts that feature Jedi from the prequel era.
Call the Midwife,8.6,Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.
Family Matters,6.6,"The Winslow family deals with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel."
Top Boy,8.4,Two London drug dealers ply their lucrative trade at a public housing estate in East London.
It's Okay to Not Be Okay,8.6,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
Barbarians,7.2,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
The Midnight Club,6.5,The Midnight Club follows an octet of terminally-ill teenage patients at Brightcliffe Hospice as they gather at midnight to share scary stories.
Las Vegas,7.4,"Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas."
My Wife and Kids,6.9,"Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream."
FUBAR,6.5,A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.
Sex/Life,5.5,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild child past.
Fuller House,6.7,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller."
The Missing,8.2,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.
The Carrie Diaries,7.0,"Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan."
Ethos,8.5,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will."
Borgen,8.5,"A political drama about a prime minister's rise to power, and how power changes a prime minister."
Nurse Jackie,7.8,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.
S.W.A.T.,7.2,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
Miami Vice,7.5,"Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida."
First Kill,6.5,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter and both are ready to make their first kill."
Southland,8.5,The lives of Police Officers working for the Los Angeles Police Department.
College Romance,8.4,"Three best friends look for love, laughs and some lifelong memories while attending college together."
The L Word,7.7,"Follows the lives and loves of a small, close-knit group of lesbian women living in Los Angeles as well as the friends and family members that either support or loathe them."
Inhumans,4.9,An isolated community of superhumans fight to protect themselves.
Dragon Ball GT,6.8,"After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self."
I Love Lucy,8.5,"The wife of a band leader constantly tries to become a star - in spite of her having no talent, and gets herself (along with her best friend) into the funniest predicaments."
Racket Boys,4.4,A city kid is brought to the countryside by his father's new coaching gig; reviving a ragtag middle school badminton team on the brink of extinction.
Private Practice,6.8,"A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery."
Star Wars: Clone Wars,7.8,The events and battles of the Galactic Republic's last major war are recounted.
Masters of the Universe: Revelation,5.5,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.
Runaways,6.9,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
Chicago Med,7.6,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships."
The Closer,7.8,"Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases."
"Magnum, P.I.",7.5,The adventures of a Hawaii based private investigator.
Abbott Elementary,8.2,"Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
Victorious,7.0,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.
You're the Worst,8.1,"Centers on two toxic, self-destructive people who fall in love and attempt a relationship."
Undercover,8.9,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.
Rescue Me,8.3,Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.
Babylon Berlin,8.4,"Colognian commissioner Gereon Rath moves to Berlin, the epicenter of political and social changes in the Golden Twenties."
Solar Opposites,8.0,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet."
Future Man,7.7,"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity."
Why Women Kill,8.3,"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages."
Bad Sisters,8.3,The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.
